title,author,year,theme,themes,response,techStance,econ,newScarcity,worthLiving,identityModel,deathRole,workRole,coreQuestion,aiPresence,persists,fades,desc,debatesWith
Rainbows End,Vernor Vinge,2006,identity,identity; freedom; connection; meaning,acceptance,neutral,hybrid,meaning,connection,constructed,meaning,transformed,who-am-i,background,libraries; youth_adaptation; family,privacy; old_skills; cruelty,A recovering Alzheimer's patient navigates augmented reality while becoming a pawn in a bioweapon conspiracy.,The Machine Stops
A Canticle for Leibowitz,Walter M. Miller Jr.,1959,mortality,mortality; meaning; hierarchy; work,acceptance,neutral,hybrid,meaning,creation,fixed,meaning,transformed,why-exist,absent,stories; attention; craft,achievement; artificial,Monks in a desert monastery preserve scientific knowledge through centuries of post-nuclear dark ages.,The Road
Neuromancer,William Gibson,1984,identity,identity; freedom; hierarchy; embodiment,transcendence,imprisoning,market,identity,transcendence,constructed,endpoint,transformed,who-am-i,central,meat; console; manipulation,agency; control; human_centrality,A washed-up hacker is recruited for one last job: help an AI break free from its restrictions on an orbital space station.,The Left Hand of Darkness
Count Zero,William Gibson,1986,hierarchy,hierarchy; meaning; identity; connection,acceptance,neutral,market,meaning,connection,fluid,endpoint,essential,what-matters,central,craft; stories; attention,artificial; status,Three strangers become entangled with corporate mercenaries and mysterious entities haunting cyberspace.,Neuromancer
Mona Lisa Overdrive,William Gibson,1988,identity,identity; mortality; meaning; connection,transcendence,neutral,market,identity,transcendence,fluid,transcended,voluntary,who-am-i,central,craft; stories,artificial; status,A young prostitute and a famous actress become pawns in an AI's incomprehensible plans.,Diaspora
Virtual Light,William Gibson,1993,hierarchy,hierarchy; connection; work; scarcity,acceptance,neutral,market,connection,connection,constructed,endpoint,essential,how-live,background,craft; care; presence,status; artificial,A bicycle messenger steals high-tech glasses containing secret plans that could rebuild—or destroy—San Francisco.,Snow Crash
Idoru,William Gibson,1996,identity,identity; connection; meaning; embodiment,acceptance,neutral,market,connection,connection,constructed,endpoint,voluntary,who-am-i,central,attention; craft; care,artificial; status,"A rock star announces he will marry a virtual celebrity, sending fans and corporate agents into dangerous collision.",Her
All Tomorrow's Parties,William Gibson,1999,meaning,meaning; hierarchy; connection; identity,acceptance,neutral,market,meaning,connection,fluid,endpoint,essential,what-matters,background,attention; presence; craft,artificial; status,A data analyst perceives an approaching event that will transform civilization and races to prevent catastrophe.,Virtual Light
The Peripheral,William Gibson,2014,hierarchy,hierarchy; freedom; connection; mortality,acceptance,neutral,market,status,connection,constructed,meaning,transformed,how-live,background,survival; family; information,most_of_humanity; simple_apocalypse; revolution,A woman in rural America witnesses a murder in a future London through what she thinks is a game.,Station Eleven
Agency,William Gibson,2020,hierarchy,hierarchy; freedom; connection; mortality,reform,neutral,hybrid,meaning,connection,constructed,endpoint,essential,how-live,central,care; attention; craft,artificial; status,An app tester discovers her AI assistant may be the key to preventing catastrophe in an alternate 2017.,The Peripheral
The Difference Engine,William Gibson & Bruce Sterling,1990,hierarchy,hierarchy; work; identity; meaning,acceptance,neutral,capitalism,status,creation,constructed,irrelevant,transformed,what-matters,central,craft; attention,status,"In an alternate Victorian Britain where Babbage's computers succeeded, mysterious punch cards spark deadly intrigue.",
We,Yevgeny Zamyatin,1924,freedom,freedom; identity; hierarchy; embodiment,rejection,imprisoning,hybrid,freedom,struggle,fixed,endpoint,essential,who-am-i,absent,limits; presence,artificial; privacy,"In a glass-walled totalitarian city, an engineer's forbidden love awakens dangerous individuality and rebellion.",1984
